gene	disease	inheritance
ADNP	Helsmoortel-van der aa syndrome;HELSMOORTEL-VAN DER AA SYNDROME	
ADRA2B	Epilepsy, familial adult myoclonic 2;EPILEPSY, FAMILIAL ADULT MYOCLONIC, 2	
ADSL	ADENYLOSUCCINASE DEFICIENCY;Adenylosuccinase deficiency;Not Provided;not provided;Adenylosuccinate lyase deficiency	Autosomal recessive inheritance
ADSSL1	Myopathy, distal, 5;MYOPATHY, DISTAL, 5	
AFF4	Chops syndrome;CHOPS SYNDROME	
AFG3L2	not provided;not provided	
AFP	Alpha-fetoprotein deficiency;ALPHA-FETOPROTEIN DEFICIENCY	
AGA	Aspartylglucosaminuria, finnish type;ASPARTYLGLUCOSAMINURIA, FINNISH TYPE	
AGBL1	Corneal dystrophy, Fuchs endothelial, 8;CORNEAL DYSTROPHY, FUCHS ENDOTHELIAL, 8	
AGBL5	Retinitis pigmentosa 75;RETINITIS PIGMENTOSA 75	
AGK	Cataract and cardiomyopathy;Cataract and cardiomyopathy	
AGL	Glycogen storage disease IIIa;GLYCOGEN STORAGE DISEASE, TYPE IIIa	
AGPAT2	Congenital generalized lipodystrophy type 1;Lipodystrophy, congenital generalized, type 1	
AGPS	Rhizomelic chondrodysplasia punctata type 3;RHIZOMELIC CHONDRODYSPLASIA PUNCTATA, TYPE 3	Autosomal recessive inheritance
AGRN	Congenital myasthenic syndrome	
AGT	Renal dysplasia;RENAL TUBULAR DYSGENESIS	
AGTR1	Renal dysplasia;RENAL TUBULAR DYSGENESIS	
AGXT	HYPEROXALURIA, PRIMARY, TYPE I;Primary hyperoxaluria, type I;not specified	Autosomal recessive inheritance
AHCY	Hypermethioninemia with s-adenosylhomocysteine hydrolase deficiency;HYPERMETHIONINEMIA WITH S-ADENOSYLHOMOCYSTEINE HYDROLASE DEFICIENCY	Autosomal recessive inheritance
AHDC1	Cerebral visual impairment and intellectual disability;Cerebral visual impairment and intellectual disability	
AHI1	Joubert syndrome 3	Autosomal recessive inheritance
AICDA	Immunodeficiency with hyper IgM type 2;IMMUNODEFICIENCY WITH HYPER-IgM, TYPE 2	Autosomal recessive inheritance
AIMP1	Leukodystrophy, hypomyelinating 3	
AIP	Pituitary adenoma predisposition;PITUITARY ADENOMA PREDISPOSITION;AIP-Related Familial Isolated Pituitary Adenomas;Somatotroph adenoma	
AIPL1	Leber Congenital Amaurosis;not provided;Leber congenital amaurosis 4	
AIRE	AUTOIMMUNE POLYENDOCRINOPATHY SYNDROME, TYPE I;Polyglandular autoimmune syndrome, type 1;Autoimmune polyglandular syndrome type 1, with reversible metaphyseal dysplasia	
AK1	Adenylate kinase deficiency, hemolytic anemia due to;ADENYLATE KINASE DEFICIENCY, HEMOLYTIC ANEMIA DUE TO	
AK2	Reticular dysgenesis;RETICULAR DYSGENESIS	
AKAP9	Long QT syndrome 11;LONG QT SYNDROME 11 (1 family)	
AKR1C2	46,XY sex reversal 8;46,XY SEX REVERSAL 8	
AKR1D1	Bile acid synthesis defect, congenital, 2;BILE ACID SYNTHESIS DEFECT, CONGENITAL, 2	Autosomal recessive inheritance
AKT1	Cowden syndrome 6;COWDEN SYNDROME 6	
AKT2	Diabetes mellitus type 2;DIABETES MELLITUS, TYPE II	
AKT3	Megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome 2;MEGALENCEPHALY-POLYMICROGYRIA-POLYDACTYLY-HYDROCEPHALUS SYNDROME 2	
ALAD	AMINOLEVULINATE DEHYDRATASE, ALAD*1/ALAD*2 POLYMORPHISM;AMINOLEVULINATE DEHYDRATASE, ALAD*1/ALAD*2 POLYMORPHISM	
ALAS2	Hereditary sideroblastic anemia;ANEMIA, SIDEROBLASTIC, 1, LATE-ONSET	X-linked recessive inheritance
ALB	ALBUMIN B	
ALDH18A1	Cutis laxa, autosomal dominant 3;CUTIS LAXA, AUTOSOMAL DOMINANT 3	
ALDH1A3	Microphthalmia, isolated 8;MICROPHTHALMIA, ISOLATED 8	
ALDH1B1	not provided;Not Provided	
ALDH2	ALCOHOL SENSITIVITY, ACUTE;Esophageal cancer, alcohol-related, susceptibility to;Sublingual nitroglycerin, susceptibility to poor response to;Alcohol dependence;Acute alcohol sensitivity;Susceptibility to hangover	
ALDH3A2	Sjögren-Larsson syndrome;SJOGREN-LARSSON SYNDROME	
ALDH4A1	Deficiency of pyrroline-5-carboxylate reductase;HYPERPROLINEMIA, TYPE II	
ALDH5A1	not provided;not provided	
ALDH7A1	not provided;not provided	
ALDOA	HNSHA due to aldolase A deficiency;GLYCOGEN STORAGE DISEASE XII	
ALDOB	Hereditary fructosuria	Autosomal recessive inheritance
ALG1	Congenital disorder of glycosylation type 1K;Congenital disorder of glycosylation type 1K	
ALG11	Congenital disorder of glycosylation type 1P;CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Ip	
ALG12	Congenital disorder of glycosylation type 1G;CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Ig	
ALG13	Epileptic encephalopathy, early infantile, 36;EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 36	
ALG14	Myasthenic syndrome, congenital, 15;MYASTHENIC SYNDROME, CONGENITAL, 15 (1 family)	
ALG2	Congenital disorder of glycosylation type 1I;CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Ii (1 patient)	
ALG3	Congenital disorder of glycosylation type 1D;CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Id	
ALG6	Congenital disorder of glycosylation type 1C;CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Ic	
ALG8	Congenital disorder of glycosylation type 1H;CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Ih	
ALG9	CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Il;CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Il	
ALK	Neuroblastoma 3	
ALMS1	Alstrom syndrome	
ALOX12B	Autosomal recessive congenital ichthyosis 2;ICHTHYOSIS, CONGENITAL, AUTOSOMAL RECESSIVE 2	
ALOXE3	Autosomal recessive congenital ichthyosis 3;ICHTHYOSIS, CONGENITAL, AUTOSOMAL RECESSIVE 3	
ALPL	Childhood hypophosphatasia;HYPOPHOSPHATASIA, CHILDHOOD	Autosomal recessive inheritance
ALS2	Amyotrophic lateral sclerosis type 2;AMYOTROPHIC LATERAL SCLEROSIS 2, JUVENILE	
ALX1	Frontonasal dysplasia 3;FRONTONASAL DYSPLASIA 3 (1 family)	
ALX3	Frontonasal dysplasia 1;FRONTONASAL DYSPLASIA 1	
ALX4	Frontonasal dysplasia 2;FRONTONASAL DYSPLASIA 2	
AMER1	Osteopathia striata with cranial sclerosis;OSTEOPATHIA STRIATA WITH CRANIAL SCLEROSIS	
AMH	Persistent mullerian duct syndrome, type I;PERSISTENT MULLERIAN DUCT SYNDROME, TYPE I	
AMHR2	Persistent mullerian duct syndrome, type II;PERSISTENT MULLERIAN DUCT SYNDROME, TYPE II	
AMN	Megaloblastic anemia 1, Norwegian type;MEGALOBLASTIC ANEMIA 1, NORWEGIAN TYPE	
AMPD1	Muscle AMP deaminase deficiency;Muscle AMP deaminase deficiency	
AMPD2	Pontocerebellar hypoplasia, type 9;PONTOCEREBELLAR HYPOPLASIA, TYPE 9	
AMT	Non-ketotic hyperglycinemia;GLYCINE ENCEPHALOPATHY	
ANK1	Spherocytosis, type 1, autosomal recessive;SPHEROCYTOSIS, TYPE 1, AUTOSOMAL RECESSIVE	
ANK2	Cardiac arrhythmia;not provided;CARDIAC ARRHYTHMIA, ANKYRIN-B-RELATED;Long QT syndrome;Cardiac arrhythmia, ankyrin B-related	Autosomal dominant inheritance
ANK3	Mental retardation, autosomal recessive 37;MENTAL RETARDATION, AUTOSOMAL RECESSIVE 37 (1 family)	
ANKH	Chondrocalcinosis 2;CHONDROCALCINOSIS 2	
ANKLE2	Microcephaly;Microcephaly 16, primary, autosomal recessive;MICROCEPHALY 16, PRIMARY, AUTOSOMAL RECESSIVE (1 family)	
ANKRD11	Inborn genetic diseases;MR/ID/DD;Seizures/Epilepsy;Allergy/Immunologic/Infectious (child onset);Craniofacial (child onset);Gastrointestinal (child onset);Renal (child onset);Neurologic (child onset)	
ANKRD26	Thrombocytopenia 2;THROMBOCYTOPENIA 2	Autosomal dominant inheritance
ANKS6	Nephronophthisis 16;NEPHRONOPHTHISIS 16	
ANLN	Focal segmental glomerulosclerosis 8;FOCAL SEGMENTAL GLOMERULOSCLEROSIS 8	
ANO10	Spinocerebellar ataxia, autosomal recessive 10;Spinocerebellar ataxia, autosomal recessive 10	
ANO3	Dystonia 24;DYSTONIA 24	
ANO5	ANO5-Related Muscle Diseases;Miyoshi muscular dystrophy 3;not provided;MIYOSHI MUSCULAR DYSTROPHY 3;Limb-girdle muscular dystrophy, type 2L	Autosomal recessive inheritance
ANOS1	Kallmann syndrome 1;HYPOGONADOTROPIC HYPOGONADISM 1 WITH ANOSMIA	X-linked dominant inheritance;X-linked recessive inheritance
ANTXR1	Odontotrichomelic syndrome;GAPO SYNDROME	
ANTXR2	Hyaline fibromatosis syndrome;Hyaline fibromatosis syndrome	Autosomal recessive inheritance
AP1S2	Pettigrew syndrome;PETTIGREW SYNDROME;Mental retardation, X-linked syndromic, Fried type	X-linked inheritance
AP2S1	Hypocalciuric hypercalcemia, familial, type III;HYPOCALCIURIC HYPERCALCEMIA, FAMILIAL, TYPE III	
AP3B1	Hermansky Pudlak syndrome 2;HERMANSKY-PUDLAK SYNDROME 2	
AP3D1	Hermansky-Pudlak Syndrome 10;HERMANSKY-PUDLAK SYNDROME 10 (1 patient)	
AP4B1	not provided;Not provided	
AP4E1	STUTTERING, FAMILIAL PERSISTENT, 1;Stuttering, familial persistent 1	
AP4M1	CNS hypomyelination;Hypoplastic corpus callosum;Microcephaly;Brain atrophy;SPASTIC PARAPLEGIA 50, AUTOSOMAL RECESSIVE;Global developmental delay;Spastic paraplegia 50, autosomal recessive;Developmental delay;Hypoplasia of the corpus callosum;Hypomyelination	
AP4S1	Spastic paraplegia 52, autosomal recessive;SPASTIC PARAPLEGIA 52, AUTOSOMAL RECESSIVE	
AP5Z1	Spastic paraplegia 48, autosomal recessive;SPASTIC PARAPLEGIA 48	
APC	Adenomatous polyposis coli;AllHighlyPenetrant;not specified;not provided;Familial adenomatous polyposis 1;Not specified;APC-Associated Polyposis Conditions;FAMILIAL ADENOMATOUS POLYPOSIS 1, ATTENUATED	Autosomal dominant inheritance
APCDD1	Hypotrichosis simplex;HYPOTRICHOSIS 1	
APOA1	Amyloidosis, cardiac and cutaneous;AMYLOIDOSIS, CARDIAC AND CUTANEOUS	
APOA5	Familial type 5 hyperlipoproteinemia;HYPERLIPOPROTEINEMIA, TYPE V	
APOB	Familial hypercholesterolemia;HYPERCHOLESTEROLEMIA DUE TO LIGAND-DEFECTIVE APOLIPOPROTEIN B100;Familial Hypercholesterolemia	Autosomal dominant inheritance
APOC3	Apolipoprotein c-iii, nonglycosylated;APOLIPOPROTEIN C-III, NONGLYCOSYLATED	
APOE	Alzheimer disease 2;ALZHEIMER DISEASE 2, DUE TO APOE4 ISOFORM	
APOPT1	Cytochrome-c oxidase deficiency;MITOCHONDRIAL COMPLEX IV DEFICIENCY	Autosomal recessive inheritance;Mitochondrial inheritance
APP	ALZHEIMER DISEASE, FAMILIAL, 1;Alzheimer disease, type 1;not provided	
APPL1	Maturity-onset diabetes of the young, type 14;MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 14	
APRT	Adenine phosphoribosyltransferase deficiency;Adenine phosphoribosyltransferase deficiency	
APTX	Adult onset ataxia with oculomotor apraxia;ATAXIA, ADULT-ONSET, WITH OCULOMOTOR APRAXIA	
AQP1	AQUAPORIN 1 DEFICIENCY;Colton-null;Aquaporin 1 deficiency	
AQP2	Diabetes insipidus, nephrogenic, autosomal recessive;DIABETES INSIPIDUS, NEPHROGENIC, AUTOSOMAL RECESSIVE	
AQP5	Diffuse palmoplantar keratoderma, Bothnian type;PALMOPLANTAR KERATODERMA, BOTHNIAN TYPE	
AR	ANDROGEN INSENSITIVITY, PARTIAL;Reifenstein syndrome;not provided	
ARFGEF2	Heterotopia, periventricular, autosomal recessive;PERIVENTRICULAR HETEROTOPIA WITH MICROCEPHALY, AUTOSOMAL RECESSIVE	Autosomal recessive inheritance
ARG1	Arginase deficiency;ARGININEMIA	Autosomal recessive inheritance
ARHGAP11A	Inborn genetic diseases;Brain MRI positive;Multiple congenital anomalies;MR/ID/DD;Oncologic (child onset);Hematologic (child onset);Musculoskeletal/Structural (child onset);Dental (child onset);Craniofacial (child onset);Neurologic (child onset)	
ARHGAP26	Juvenile myelomonocytic leukemia;LEUKEMIA, JUVENILE MYELOMONOCYTIC, SOMATIC	
ARHGAP31	Adams-Oliver syndrome 1;ADAMS-OLIVER SYNDROME 1	
ARHGDIA	Nephrotic syndrome, type 8;NEPHROTIC SYNDROME, TYPE 8	
ARHGEF10	Slowed nerve conduction velocity, autosomal dominant;SLOWED NERVE CONDUCTION VELOCITY, AUTOSOMAL DOMINANT (1 family)	
ARHGEF9	Early infantile epileptic encephalopathy 8;EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 8	X-linked inheritance
ARID1A	Mental retardation, autosomal dominant 14;COFFIN-SIRIS SYNDROME 2	
ARID1B	Blepharophimosis;Absent speech;Thick lower lip vermilion;Thin upper lip vermilion;Long eyelashes;Intellectual disability, moderate	
ARID2	Abnormal facial shape;Intellectual disability (moderate);Intellectual disability (moderate);Facial dysmorphism	
ARL13B	Joubert syndrome 8	Autosomal recessive inheritance
ARL2BP	Retinitis pigmentosa with or without situs inversus;RETINITIS PIGMENTOSA WITH OR WITHOUT SITUS INVERSUS	
ARL6	Bardet-Biedl syndrome 3;BARDET-BIEDL SYNDROME 3	
ARL6IP1	Spastic paraplegia 61, autosomal recessive;SPASTIC PARAPLEGIA 61, AUTOSOMAL RECESSIVE (1 family)	
ARMC4	Kartagener syndrome;CILIARY DYSKINESIA, PRIMARY, 23;Primary ciliary dyskinesia 23	Autosomal recessive inheritance
ARMC5	Acth-independent macronodular adrenal hyperplasia 2;ACTH-INDEPENDENT MACRONODULAR ADRENAL HYPERPLASIA 2	
ARSA	ARYLSULFATASE A POLYMORPHISM;Metachromatic leukodystrophy;not provided;Arylsulfatase A Deficiency	Autosomal recessive inheritance
ARSB	Mucopolysaccharidosis, type vi, intermediate;MUCOPOLYSACCHARIDOSIS, TYPE VI, INTERMEDIATE	
ARSE	Chondrodysplasia punctata 1, X-linked recessive;CHONDRODYSPLASIA PUNCTATA 1, X-LINKED RECESSIVE;Chondrodysplasia punctata 1, X-linked recessive	X-linked recessive inheritance
ARV1	ARV1-related condition;Epileptic encephalopathy, early infantile, 38;epileptic encephalopathy. Congenital retinopathy. Profound developmental delay and arrest of development.;EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 38	
ARX	CORPUS CALLOSUM, AGENESIS OF, WITH ABNORMAL GENITALIA;not provided;Proud Levine Carpenter syndrome	
ASAH1	Farbers lipogranulomatosis;FARBER LIPOGRANULOMATOSIS	
ASB10	Glaucoma 1, open angle, F;GLAUCOMA 1, OPEN ANGLE, F;Glaucoma 1, open angle, F	
ASCC1	Barrett esophagus/esophageal adenocarcinoma;BARRETT ESOPHAGUS/ESOPHAGEAL ADENOCARCINOMA	
ASCL1	Congenital central hypoventilation;CENTRAL HYPOVENTILATION SYNDROME, CONGENITAL	Autosomal dominant inheritance
ASL	Argininosuccinate lyase deficiency;Argininosuccinate Lyase Deficiency	Autosomal recessive inheritance
ASNS	Asparagine synthetase deficiency;Asparagine synthetase deficiency	
ASPH	Facial dysmorphism, lens dislocation, anterior segment abnormalities, and spontaneous filtering blebs;FACIAL DYSMORPHISM, LENS DISLOCATION, ANTERIOR SEGMENT ABNORMALITIES, AND SPONTANEOUS FILTERING BLEBS	
ASPM	Microcephaly 5, primary, autosomal recessive;Primary autosomal recessive microcephaly 5	Autosomal recessive inheritance
ASS1	CITRULLINEMIA, CLASSIC;Not Provided;not provided;Citrullinemia type I	Autosomal recessive inheritance
ASXL1	C-like syndrome;BOHRING-OPITZ SYNDROME	
ASXL3	Bainbridge-Ropers syndrome;Autism spectrum disorder;Intellectual disability, moderate;Seizures	
ATF6	Achromatopsia 7;ACHROMATOPSIA 7;Achromatopsia;ACHROMATOPSIA 7	Autosomal recessive inheritance
ATIC	AICAR transformylase/IMP cyclohydrolase deficiency;AICA-RIBOSIDURIA DUE TO ATIC DEFICIENCY (1 patient)	
ATL1	Not Provided;not provided;Spastic paraplegia 3	Autosomal dominant inheritance
ATL3	Hereditary sensory neuropathy type IF;NEUROPATHY, HEREDITARY SENSORY, TYPE IF	
ATM	Ataxia-telangiectasia syndrome;Ataxia-telangiectasia syndrome	Autosomal recessive inheritance
ATOH7	Persistent hyperplastic primary vitreous, autosomal recessive;PERSISTENT HYPERPLASTIC PRIMARY VITREOUS, AUTOSOMAL RECESSIVE	
ATP13A2	Parkinson disease 9;CEROID LIPOFUSCINOSIS, NEURONAL, 12 (1 family)	
ATP1A1	Aldosterone Producing Adrenal Cortex Adenoma;Aldosterone Producing Adrenal Cortex Adenoma	
ATP1A2	Alternating hemiplegia of childhood 1;ALTERNATING HEMIPLEGIA OF CHILDHOOD 1	
ATP1A3	Alternating hemiplegia of childhood 2;Alternating hemiplegia of childhood 2	
ATP2A1	Brody myopathy;BRODY MYOPATHY	Autosomal recessive inheritance
ATP2A2	Acrokeratosis verruciformis of Hopf;ACROKERATOSIS VERRUCIFORMIS	
ATP2B3	Aldosterone Producing Adrenal Cortex Adenoma;Aldosterone Producing Adrenal Cortex Adenoma	
ATP2C1	Familial benign pemphigus;HAILEY-HAILEY DISEASE	
ATP5A1	Combined oxidative phosphorylation deficiency 22;COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 22 (1 family)	
ATP6AP1	Immunodeficiency due to ficolin 3 deficiency;IMMUNODEFICIENCY 47	
ATP6AP2	Mental retardation, X-linked, syndromic, Hedera type;MENTAL RETARDATION, X-LINKED, SYNDROMIC, HEDERA TYPE (1 family)	X-linked inheritance
ATP6V0A2	Cutis laxa with osteodystrophy;ATP6V0A2-Related Cutis Laxa	Autosomal recessive inheritance
ATP6V0A4	Renal tubular acidosis, distal, autosomal recessive;RENAL TUBULAR ACIDOSIS, DISTAL, AUTOSOMAL RECESSIVE	
ATP6V1B1	Renal tubular acidosis, distal, with progressive deafness;RENAL TUBULAR ACIDOSIS, DISTAL, WITH PROGRESSIVE DEAFNESS	
ATP6V1B2	Deafness, congenital, with onychodystrophy, autosomal dominant;DEAFNESS, CONGENITAL, WITH ONYCHODYSTROPHY, AUTOSOMAL DOMINANT	
ATP7A	Cutis laxa, X-linked;Menkes disease;OCCIPITAL HORN SYNDROME;Menkes kinky-hair syndrome	X-linked inheritance
ATP7B	Wilson Disease;not provided;Wilsons disease	Autosomal recessive inheritance
