"ID"	"adj.P.Val"	"P.Value"	"F"	"Gene.symbol"	"Gene.title"
"ILMN_2244009"	"0.995"	"0.001766"	"5.19878"	"LBH"	"limb bud and heart development"
"ILMN_1717163"	"0.995"	"0.001841"	"5.16251"	"F13A1"	"coagulation factor XIII A chain"
"ILMN_1671149"	"0.995"	"0.001843"	"5.16171"	"MEG3"	"maternally expressed 3 (non-protein coding)"
"ILMN_1797684"	"0.995"	"0.001892"	"5.13903"	"PDCD2"	"programmed cell death 2"
"ILMN_1866480"	"0.995"	"0.001908"	"5.13172"	""	""
"ILMN_1743256"	"0.995"	"0.001917"	"5.12784"	""	""
"ILMN_1745976"	"0.995"	"0.001937"	"5.1187"	"TRAF4"	"TNF receptor associated factor 4"
"ILMN_3200362"	"0.995"	"0.00197"	"5.10419"	""	""
"ILMN_1668134"	"0.995"	"0.001978"	"5.1008"	"GSTM1"	"glutathione S-transferase mu 1"
"ILMN_1718124"	"0.995"	"0.00207"	"5.06166"	"OTOR"	"otoraplin"
"ILMN_1744618"	"0.995"	"0.002086"	"5.05503"	""	""
"ILMN_3243324"	"0.995"	"0.002171"	"5.02081"	"VLDLR-AS1"	"VLDLR antisense RNA 1"
"ILMN_3244611"	"0.995"	"0.002193"	"5.01226"	""	""
"ILMN_2398865"	"0.995"	"0.002245"	"4.99196"	"VPS13C"	"vacuolar protein sorting 13 homolog C"
"ILMN_1665736"	"0.995"	"0.002265"	"4.98451"	""	""
"ILMN_1671891"	"0.995"	"0.002298"	"4.97205"	"PID1"	"phosphotyrosine interaction domain containing 1"
"ILMN_3299558"	"0.995"	"0.002299"	"4.97171"	"PNISR"	"PNN interacting serine and arginine rich protein"
"ILMN_2049642"	"0.995"	"0.002329"	"4.96093"	"RPA1"	"replication protein A1"
"ILMN_1892417"	"0.995"	"0.002369"	"4.94645"	""	""
"ILMN_3201658"	"0.995"	"0.002373"	"4.94488"	""	""
"ILMN_3247705"	"0.995"	"0.00241"	"4.93167"	""	""
"ILMN_2067269"	"0.995"	"0.002494"	"4.90251"	"RECK"	"reversion inducing cysteine rich protein with kazal motifs"
"ILMN_3302300"	"0.995"	"0.002502"	"4.89994"	""	""
"ILMN_1723884"	"0.995"	"0.002514"	"4.89582"	"ARF4"	"ADP ribosylation factor 4"
"ILMN_1661490"	"0.995"	"0.002612"	"4.86353"	"PFDN6"	"prefoldin subunit 6"
"ILMN_1788184"	"0.995"	"0.002647"	"4.85226"	"CIDEA"	"cell death-inducing DFFA-like effector a"
"ILMN_1772168"	"0.995"	"0.002654"	"4.85005"	""	""
"ILMN_1676528"	"0.995"	"0.00269"	"4.83864"	"BTN3A2"	"butyrophilin subfamily 3 member A2"
"ILMN_3236325"	"0.995"	"0.002691"	"4.83838"	""	""
"ILMN_2119692"	"0.995"	"0.002704"	"4.83438"	"CSAD"	"cysteine sulfinic acid decarboxylase"
"ILMN_2343264"	"0.995"	"0.002743"	"4.82213"	"PRDM16"	"PR/SET domain 16"
"ILMN_1696419"	"0.995"	"0.002786"	"4.80897"	"STOM"	"stomatin"
"ILMN_1758661"	"0.995"	"0.002799"	"4.80509"	"LNPEP"	"leucyl and cystinyl aminopeptidase"
"ILMN_1779147"	"0.995"	"0.002811"	"4.80156"	"ENC1"	"ectodermal-neural cortex 1"
"ILMN_1716876"	"0.995"	"0.002885"	"4.77959"	"MED27"	"mediator complex subunit 27"
"ILMN_2361104"	"0.995"	"0.002913"	"4.77155"	"ZMAT3"	"zinc finger matrin-type 3"
"ILMN_1683844"	"0.995"	"0.002923"	"4.76873"	"HSD17B13"	"hydroxysteroid 17-beta dehydrogenase 13"
"ILMN_1728327"	"0.995"	"0.002933"	"4.76587"	""	""
"ILMN_1791388"	"0.995"	"0.002961"	"4.75783"	"ZNF787"	"zinc finger protein 787"
"ILMN_1657803"	"0.995"	"0.002985"	"4.75099"	"CFH"	"complement factor H"
"ILMN_1742956"	"0.995"	"0.003003"	"4.74598"	"ATXN2L"	"ataxin 2 like"
"ILMN_3240308"	"0.995"	"0.003047"	"4.73387"	""	""
"ILMN_3267739"	"0.995"	"0.00305"	"4.73309"	""	""
"ILMN_1788774"	"0.995"	"0.003061"	"4.73018"	"TYR"	"tyrosinase"
"ILMN_3247477"	"0.995"	"0.00311"	"4.7167"	""	""
"ILMN_1885273"	"0.995"	"0.003121"	"4.71381"	""	""
"ILMN_2135339"	"0.995"	"0.003127"	"4.71215"	"C3orf70"	"chromosome 3 open reading frame 70"
"ILMN_1731714"	"0.995"	"0.003133"	"4.71072"	"CREB5"	"cAMP responsive element binding protein 5"
"ILMN_3305899"	"0.995"	"0.003154"	"4.7049"	""	""
"ILMN_1894900"	"0.995"	"0.003158"	"4.70394"	""	""
"ILMN_1776213"	"0.995"	"0.003178"	"4.6988"	"RGMB"	"repulsive guidance molecule family member b"
"ILMN_2214790"	"0.995"	"0.003251"	"4.6797"	"LAMB1"	"laminin subunit beta 1"
"ILMN_1703650"	"0.995"	"0.003259"	"4.67771"	"TNIP1"	"TNFAIP3 interacting protein 1"
"ILMN_1865935"	"0.995"	"0.003282"	"4.67188"	""	""
"ILMN_3243333"	"0.995"	"0.003364"	"4.65133"	"GAGE12J"	"G antigen 12J"
"ILMN_1764794"	"0.995"	"0.003373"	"4.64914"	"PSMB2"	"proteasome subunit beta 2"
"ILMN_1799204"	"0.995"	"0.003462"	"4.62739"	""	""
"ILMN_3275595"	"0.995"	"0.003514"	"4.61507"	""	""
"ILMN_3272826"	"0.995"	"0.003528"	"4.61172"	"LOC100128361"	"uncharacterized LOC100128361"
"ILMN_1738646"	"0.995"	"0.003531"	"4.61091"	"LY6K"	"lymphocyte antigen 6 complex, locus K"
"ILMN_2364828"	"0.995"	"0.003574"	"4.60097"	"OGT"	"O-linked N-acetylglucosamine (GlcNAc) transferase"
"ILMN_1814022"	"0.995"	"0.003594"	"4.5964"	"NR1H3"	"nuclear receptor subfamily 1 group H member 3"
"ILMN_3299187"	"0.995"	"0.003616"	"4.5912"	""	""
"ILMN_1795243"	"0.995"	"0.003694"	"4.5736"	""	""
"ILMN_1881909"	"0.995"	"0.00376"	"4.559"	"SNAR-A1"	"small ILF3/NF90-associated RNA A1"
"ILMN_2404850"	"0.995"	"0.003798"	"4.55075"	"RPL14"	"ribosomal protein L14"
"ILMN_1747305"	"0.995"	"0.003852"	"4.53901"	"GIMAP8"	"GTPase, IMAP family member 8"
"ILMN_3283043"	"0.995"	"0.00389"	"4.53086"	"TRIM64C"	"tripartite motif containing 64C"
"ILMN_1794490"	"0.995"	"0.003897"	"4.52951"	"PNMAL1"	"paraneoplastic Ma antigen family like 1"
"ILMN_1687526"	"0.995"	"0.004047"	"4.49839"	""	""
"ILMN_1673744"	"0.995"	"0.004053"	"4.49717"	"ZNF81"	"zinc finger protein 81"
"ILMN_1665417"	"0.995"	"0.004066"	"4.49435"	""	""
"ILMN_1679391"	"0.995"	"0.004067"	"4.49432"	"MAMDC2"	"MAM domain containing 2"
"ILMN_2087941"	"0.995"	"0.004113"	"4.48501"	"ENTPD3"	"ectonucleoside triphosphate diphosphohydrolase 3"
"ILMN_1710829"	"0.995"	"0.004127"	"4.4823"	""	""
"ILMN_3241117"	"0.995"	"0.004135"	"4.48056"	""	""
"ILMN_1721703"	"0.995"	"0.004148"	"4.47806"	"PNN"	"pinin, desmosome associated protein"
"ILMN_1727087"	"0.995"	"0.004163"	"4.47498"	"GJA1"	"gap junction protein alpha 1"
"ILMN_2409451"	"0.995"	"0.004165"	"4.47473"	"NCKAP1"	"NCK associated protein 1"
"ILMN_3249267"	"0.995"	"0.004171"	"4.47342"	""	""
"ILMN_3210741"	"0.995"	"0.004196"	"4.46863"	""	""
"ILMN_3224952"	"0.995"	"0.004201"	"4.46769"	""	""
"ILMN_1657823"	"0.995"	"0.004204"	"4.46703"	"PMEPA1"	"prostate transmembrane protein, androgen induced 1"
"ILMN_1722492"	"0.995"	"0.004213"	"4.46521"	"DUSP19"	"dual specificity phosphatase 19"
"ILMN_3248891"	"0.995"	"0.004221"	"4.46375"	"GLB1L3"	"galactosidase beta 1 like 3"
"ILMN_1655196"	"0.995"	"0.004229"	"4.46216"	""	""
"ILMN_1905527"	"0.995"	"0.004261"	"4.45595"	""	""
"ILMN_1730616"	"0.995"	"0.00432"	"4.44479"	"MARCH11"	"membrane associated ring-CH-type finger 11"
"ILMN_1797744"	"0.995"	"0.004334"	"4.44201"	"TPPP3"	"tubulin polymerization promoting protein family member 3"
"ILMN_1772951"	"0.995"	"0.004359"	"4.43735"	"ST6GALNAC1"	"ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 1"
"ILMN_1787691"	"0.995"	"0.004501"	"4.41101"	"CITED4"	"Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 4"
"ILMN_1893395"	"0.995"	"0.004522"	"4.40726"	"LOC102725068"	"uncharacterized LOC102725068"
"ILMN_3247111"	"0.995"	"0.004522"	"4.40725"	"LRRC69"	"leucine rich repeat containing 69"
"ILMN_1756928"	"0.995"	"0.004522"	"4.40723"	"RTN1"	"reticulon 1"
"ILMN_1803650"	"0.995"	"0.004568"	"4.39896"	"MYCL"	"v-myc avian myelocytomatosis viral oncogene lung carcinoma derived homolog"
"ILMN_1816244"	"0.995"	"0.004581"	"4.39665"	"MGAT5"	"mannosyl (alpha-1,6-)-glycoprotein beta-1,6-N-acetyl-glucosaminyltransferase"
"ILMN_2227385"	"0.995"	"0.004625"	"4.3889"	"SLC16A14"	"solute carrier family 16 member 14"
"ILMN_1704143"	"0.995"	"0.00466"	"4.38265"	""	""
"ILMN_1755808"	"0.995"	"0.004689"	"4.37767"	""	""
"ILMN_1801553"	"0.995"	"0.004778"	"4.36243"	"LEO1"	"LEO1 homolog, Paf1/RNA polymerase II complex component"
"ILMN_3290035"	"0.995"	"0.004807"	"4.3575"	""	""
"ILMN_3311005"	"0.995"	"0.004834"	"4.35282"	"MIR212"	"microRNA 212"
"ILMN_1777562"	"0.995"	"0.004843"	"4.35134"	"HAS2"	"hyaluronan synthase 2"
"ILMN_1805225"	"0.995"	"0.004876"	"4.3459"	"LPCAT3"	"lysophosphatidylcholine acyltransferase 3"
"ILMN_3242786"	"0.995"	"0.00489"	"4.34341"	""	""
"ILMN_1776077"	"0.995"	"0.004893"	"4.34306"	"SF1"	"splicing factor 1"
"ILMN_3209832"	"0.995"	"0.005033"	"4.32013"	"PET100"	"PET100 homolog"
"ILMN_1900356"	"0.995"	"0.005075"	"4.31335"	""	""
"ILMN_1681882"	"0.995"	"0.005086"	"4.31163"	"CETP"	"cholesteryl ester transfer protein"
"ILMN_1774207"	"0.995"	"0.005182"	"4.29644"	"ANGPT2"	"angiopoietin 2"
"ILMN_3222631"	"0.995"	"0.005192"	"4.29475"	""	""
"ILMN_3289352"	"0.995"	"0.005207"	"4.29252"	""	""
"ILMN_1791302"	"0.995"	"0.005224"	"4.28985"	"EFHC2"	"EF-hand domain containing 2"
"ILMN_1668426"	"0.995"	"0.005269"	"4.2829"	"SPESP1"	"sperm equatorial segment protein 1"
"ILMN_3240247"	"0.995"	"0.005308"	"4.27698"	"NOP10"	"NOP10 ribonucleoprotein"
"ILMN_3297562"	"0.995"	"0.005362"	"4.26869"	""	""
"ILMN_3208330"	"0.995"	"0.005367"	"4.26799"	""	""
"ILMN_2376408"	"0.995"	"0.005368"	"4.26783"	"DPM3"	"dolichyl-phosphate mannosyltransferase subunit 3"
"ILMN_1696591"	"0.995"	"0.005395"	"4.26372"	"RB1"	"RB transcriptional corepressor 1"
"ILMN_1664024"	"0.995"	"0.005442"	"4.25674"	"APOB"	"apolipoprotein B"
"ILMN_1662383"	"0.995"	"0.005458"	"4.25438"	"ZRANB2"	"zinc finger RANBP2-type containing 2"
"ILMN_2064606"	"0.995"	"0.005502"	"4.24783"	"TBC1D2B"	"TBC1 domain family member 2B"
"ILMN_1663723"	"0.995"	"0.005536"	"4.24292"	"SLC13A4"	"solute carrier family 13 member 4"
"ILMN_1797728"	"0.995"	"0.005558"	"4.23967"	"HMGCS1"	"3-hydroxy-3-methylglutaryl-CoA synthase 1"
"ILMN_1774661"	"0.995"	"0.005562"	"4.23912"	"SNRPB"	"small nuclear ribonucleoprotein polypeptides B and B1"
"ILMN_2115949"	"0.995"	"0.005599"	"4.23377"	"ZNF394"	"zinc finger protein 394"
"ILMN_2110986"	"0.995"	"0.005622"	"4.23049"	"NOM1"	"nucleolar protein with MIF4G domain 1"
"ILMN_1678459"	"0.995"	"0.005637"	"4.22832"	"VAPB"	"VAMP associated protein B and C"
"ILMN_1689915"	"0.995"	"0.005652"	"4.22619"	""	""
"ILMN_1677636"	"0.995"	"0.005655"	"4.22573"	"COMP"	"cartilage oligomeric matrix protein"
"ILMN_1817377"	"0.995"	"0.005724"	"4.21604"	"LOC286437"	"uncharacterized LOC286437"
"ILMN_1916904"	"0.995"	"0.005739"	"4.21393"	""	""
"ILMN_1777286"	"0.995"	"0.005751"	"4.21221"	""	""
"ILMN_1676691"	"0.995"	"0.005797"	"4.2057"	""	""
"ILMN_1701603"	"0.995"	"0.0058"	"4.20534"	"ALPL"	"alkaline phosphatase, liver/bone/kidney"
"ILMN_1668899"	"0.995"	"0.005834"	"4.20067"	"OCLM"	"oculomedin"
"ILMN_2313856"	"0.995"	"0.00584"	"4.19983"	"OSBPL9"	"oxysterol binding protein like 9"
"ILMN_1768301"	"0.995"	"0.005887"	"4.1934"	"ERG"	"ERG, ETS transcription factor"
"ILMN_2219618"	"0.995"	"0.005987"	"4.17986"	"AOC4P"	"amine oxidase, copper containing 4, pseudogene"
"ILMN_1700316"	"0.995"	"0.006"	"4.17805"	""	""
"ILMN_2299661"	"0.995"	"0.006054"	"4.17087"	"TNFRSF25"	"TNF receptor superfamily member 25"
"ILMN_1795992"	"0.995"	"0.006069"	"4.16885"	""	""
"ILMN_1772224"	"0.995"	"0.006088"	"4.1664"	"KCNJ5"	"potassium voltage-gated channel subfamily J member 5"
"ILMN_1694818"	"0.995"	"0.006118"	"4.16244"	""	""
"ILMN_1679482"	"0.995"	"0.006192"	"4.15283"	"TUBA3C"	"tubulin alpha 3c"
"ILMN_3212921"	"0.995"	"0.006216"	"4.14967"	""	""
"ILMN_2170353"	"0.995"	"0.006251"	"4.14523"	"HACD2"	"3-hydroxyacyl-CoA dehydratase 2"
"ILMN_3236675"	"0.995"	"0.006252"	"4.14505"	""	""
"ILMN_1776263"	"0.995"	"0.006274"	"4.14224"	"TMEM174"	"transmembrane protein 174"
"ILMN_1772092"	"0.995"	"0.006296"	"4.13946"	""	""
"ILMN_1795839"	"0.995"	"0.006315"	"4.137"	"SCCPDH"	"saccharopine dehydrogenase (putative)"
"ILMN_1735502"	"0.995"	"0.006335"	"4.13447"	"FAM181B"	"family with sequence similarity 181 member B"
"ILMN_1776005"	"0.995"	"0.006343"	"4.13353"	"OSTC"	"oligosaccharyltransferase complex non-catalytic subunit"
"ILMN_1699901"	"0.995"	"0.006347"	"4.13297"	"TSPEAR"	"thrombospondin type laminin G domain and EAR repeats"
"ILMN_1806533"	"0.995"	"0.006348"	"4.13279"	"PDE7B"	"phosphodiesterase 7B"
"ILMN_1688455"	"0.995"	"0.006373"	"4.12972"	"VWA8"	"von Willebrand factor A domain containing 8"
"ILMN_3297965"	"0.995"	"0.006456"	"4.11929"	""	""
"ILMN_1815652"	"0.995"	"0.006493"	"4.11479"	""	""
"ILMN_1779800"	"0.995"	"0.006547"	"4.10814"	"MARK1"	"microtubule affinity regulating kinase 1"
"ILMN_1673535"	"0.995"	"0.006559"	"4.10664"	"MYLK4"	"myosin light chain kinase family member 4"
"ILMN_1657398"	"0.995"	"0.006576"	"4.10461"	""	""
"ILMN_1718565"	"0.995"	"0.006602"	"4.10143"	"CDKN1C"	"cyclin dependent kinase inhibitor 1C"
"ILMN_1696444"	"0.995"	"0.006644"	"4.09638"	""	""
"ILMN_1715508"	"0.995"	"0.00665"	"4.09562"	"NNMT"	"nicotinamide N-methyltransferase"
"ILMN_1803323"	"0.995"	"0.006663"	"4.09414"	""	""
"ILMN_2350574"	"0.995"	"0.006709"	"4.08864"	"MYADM"	"myeloid associated differentiation marker"
"ILMN_1652147"	"0.995"	"0.006718"	"4.08754"	"MRPL43"	"mitochondrial ribosomal protein L43"
"ILMN_3238274"	"0.995"	"0.006731"	"4.08597"	"BTBD2"	"BTB domain containing 2"
"ILMN_3289090"	"0.995"	"0.006733"	"4.08581"	""	""
"ILMN_1671221"	"0.995"	"0.00676"	"4.08256"	"GAPVD1"	"GTPase activating protein and VPS9 domains 1"
"ILMN_3231558"	"0.995"	"0.006805"	"4.07721"	""	""
"ILMN_1662618"	"0.995"	"0.006824"	"4.07507"	"SQSTM1"	"sequestosome 1"
"ILMN_3303965"	"0.995"	"0.006887"	"4.06774"	""	""
"ILMN_3227529"	"0.995"	"0.006897"	"4.06653"	""	""
"ILMN_2131880"	"0.995"	"0.006949"	"4.06053"	"DPY30"	"dpy-30, histone methyltransferase complex regulatory subunit"
"ILMN_1669545"	"0.995"	"0.006955"	"4.05991"	""	""
"ILMN_1914855"	"0.995"	"0.006991"	"4.05574"	""	""
"ILMN_1686987"	"0.995"	"0.007014"	"4.05319"	"ORC5"	"origin recognition complex subunit 5"
"ILMN_1714417"	"0.995"	"0.007053"	"4.0487"	"PSEN2"	"presenilin 2"
"ILMN_3309724"	"0.995"	"0.007066"	"4.04723"	"MIR509-2"	"microRNA 509-2"
"ILMN_1705769"	"0.995"	"0.007092"	"4.04439"	"IL7"	"interleukin 7"
"ILMN_1803296"	"0.995"	"0.00713"	"4.04014"	"PCDHGB8P"	"protocadherin gamma subfamily B, 8 pseudogene"
"ILMN_1721316"	"0.995"	"0.007138"	"4.03917"	"TNFRSF10A"	"TNF receptor superfamily member 10a"
"ILMN_1741180"	"0.995"	"0.007211"	"4.03108"	"HEXDC"	"hexosaminidase D"
"ILMN_1679299"	"0.995"	"0.007244"	"4.02749"	"IGSF1"	"immunoglobulin superfamily member 1"
"ILMN_3304898"	"0.995"	"0.007263"	"4.02543"	""	""
"ILMN_1800787"	"0.995"	"0.007267"	"4.02494"	"RFTN1"	"raftlin, lipid raft linker 1"
"ILMN_1766600"	"0.995"	"0.007273"	"4.02431"	""	""
"ILMN_1738866"	"0.995"	"0.007332"	"4.01792"	"DEXI"	"Dexi homolog"
"ILMN_3230546"	"0.995"	"0.007334"	"4.01771"	"TMEM232"	"transmembrane protein 232"
"ILMN_3235526"	"0.995"	"0.007349"	"4.01602"	"FAM205A"	"family with sequence similarity 205 member A"
"ILMN_1808789"	"0.995"	"0.007362"	"4.01468"	"MYO5C"	"myosin VC"
"ILMN_2251664"	"0.995"	"0.007364"	"4.01438"	"PQLC2"	"PQ loop repeat containing 2"
"ILMN_1672589"	"0.995"	"0.007426"	"4.00775"	"SEMA4B"	"semaphorin 4B"
"ILMN_1708664"	"0.995"	"0.007443"	"4.00593"	""	""
"ILMN_1676448"	"0.995"	"0.007446"	"4.00568"	"WDFY1"	"WD repeat and FYVE domain containing 1"
"ILMN_1734830"	"0.995"	"0.007466"	"4.00348"	"MTHFR"	"methylenetetrahydrofolate reductase (NAD(P)H)"
"ILMN_3209117"	"0.995"	"0.007504"	"3.99948"	""	""
"ILMN_2329429"	"0.995"	"0.00752"	"3.99775"	""	""
"ILMN_2208435"	"0.995"	"0.007527"	"3.99704"	"CLDN16"	"claudin 16"
"ILMN_3297115"	"0.995"	"0.007532"	"3.99653"	""	""
"ILMN_2169152"	"0.995"	"0.007561"	"3.99351"	"SRGN"	"serglycin"
"ILMN_1886769"	"0.995"	"0.007568"	"3.99271"	""	""
"ILMN_1693941"	"0.995"	"0.007593"	"3.99011"	"IGSF9"	"immunoglobulin superfamily member 9"
"ILMN_3200106"	"0.995"	"0.007609"	"3.98849"	""	""
"ILMN_1755115"	"0.995"	"0.007642"	"3.98506"	"RPL23"	"ribosomal protein L23"
"ILMN_1666316"	"0.995"	"0.007657"	"3.98347"	"ADGB"	"androglobin"
"ILMN_1668498"	"0.995"	"0.007708"	"3.97822"	"CWF19L2"	"CWF19-like 2, cell cycle control (S. pombe)"
"ILMN_1863919"	"0.995"	"0.007714"	"3.97757"	""	""
"ILMN_1778401"	"0.995"	"0.007728"	"3.97612"	"HLA-B"	"major histocompatibility complex, class I, B"
"ILMN_1722820"	"0.995"	"0.007778"	"3.97108"	"KDELR3"	"KDEL endoplasmic reticulum protein retention receptor 3"
"ILMN_2146418"	"0.995"	"0.00783"	"3.96575"	"CRIM1"	"cysteine rich transmembrane BMP regulator 1"
"ILMN_3226579"	"0.995"	"0.007878"	"3.96092"	""	""
"ILMN_1766712"	"0.995"	"0.007907"	"3.95805"	"TCF21"	"transcription factor 21"
"ILMN_1706426"	"0.995"	"0.007942"	"3.95456"	"DSTN"	"destrin, actin depolymerizing factor"
"ILMN_2334242"	"0.995"	"0.008005"	"3.94835"	"CREB1"	"cAMP responsive element binding protein 1"
"ILMN_1759828"	"0.995"	"0.008047"	"3.9442"	"HARBI1"	"harbinger transposase derived 1"
"ILMN_2373831"	"0.995"	"0.008055"	"3.94342"	"BTN3A3"	"butyrophilin subfamily 3 member A3"
"ILMN_1732024"	"0.995"	"0.008077"	"3.94127"	"OR2A5"	"olfactory receptor family 2 subfamily A member 5"
"ILMN_2167808"	"0.995"	"0.008101"	"3.93886"	"TM4SF5"	"transmembrane 4 L six family member 5"
"ILMN_3296994"	"0.995"	"0.008105"	"3.93853"	""	""
"ILMN_2262275"	"0.995"	"0.00812"	"3.937"	"TRIM13"	"tripartite motif containing 13"
"ILMN_1705921"	"0.995"	"0.008183"	"3.93095"	""	""
"ILMN_2192694"	"0.995"	"0.008218"	"3.92752"	"EIF3M"	"eukaryotic translation initiation factor 3 subunit M"
"ILMN_1759818"	"0.995"	"0.008224"	"3.927"	"SORL1"	"sortilin related receptor 1"
"ILMN_1814156"	"0.995"	"0.008259"	"3.9236"	"PSMB7"	"proteasome subunit beta 7"
"ILMN_1691616"	"0.995"	"0.00826"	"3.92353"	""	""
"ILMN_1818833"	"0.995"	"0.008291"	"3.92055"	""	""
"ILMN_3197823"	"0.995"	"0.008308"	"3.919"	""	""
"ILMN_1746020"	"0.995"	"0.008327"	"3.91713"	"MDM4"	"MDM4, p53 regulator"
"ILMN_2404135"	"0.995"	"0.008334"	"3.91651"	"RIOK3"	"RIO kinase 3"
"ILMN_3254462"	"0.995"	"0.008352"	"3.91484"	""	""
"ILMN_2406304"	"0.995"	"0.008402"	"3.91012"	"PDZRN3"	"PDZ domain containing ring finger 3"
"ILMN_1796922"	"0.995"	"0.008422"	"3.90826"	""	""
"ILMN_1713550"	"0.995"	"0.008539"	"3.89735"	"LGR6"	"leucine rich repeat containing G protein-coupled receptor 6"
"ILMN_1730054"	"0.995"	"0.008544"	"3.89692"	"GSTT1"	"glutathione S-transferase theta 1"
"ILMN_3271587"	"0.995"	"0.008545"	"3.89685"	""	""
"ILMN_1717119"	"0.995"	"0.00857"	"3.89453"	""	""
"ILMN_2204909"	"0.995"	"0.008666"	"3.88573"	"XRCC2"	"X-ray repair cross complementing 2"
"ILMN_1698213"	"0.995"	"0.008772"	"3.87616"	"RBM3"	"RNA binding motif (RNP1, RRM) protein 3"
