"ID"	"adj.P.Val"	"P.Value"	"F"	"Gene.symbol"	"Gene.title"
"8142671"	"0.26748"	"6.49e-04"	"8.5317"	"WASL"	"Wiskott-Aldrich syndrome like"
"7967933"	"0.27007"	"6.64e-04"	"8.4944"	"IFT88"	"intraflagellar transport 88"
"8039687"	"0.27137"	"6.80e-04"	"8.453"	"ZNF552"	"zinc finger protein 552"
"8013272"	"0.27137"	"6.83e-04"	"8.4451"	"CCDC144CP///CCDC144NL///CCDC144B///CCDC144A"	"coiled-coil domain containing 144C, pseudogene///coiled-coil domain containing 144 family, N-terminal like///coiled-coil domain containing 144B (pseudogene)///coiled-coil domain containing 144A"
"8043480"	"0.27541"	"7.08e-04"	"8.3857"	"IGKC"	"immunoglobulin kappa constant"
"7994889"	"0.27541"	"7.10e-04"	"8.3803"	"SRCAP"	"Snf2-related CREBBP activator protein"
"7974920"	"0.27549"	"7.19e-04"	"8.3602"	"SYNE2"	"spectrin repeat containing nuclear envelope protein 2"
"8086057"	"0.28018"	"7.39e-04"	"8.3127"	"UBP1"	"upstream binding protein 1 (LBP-1a)"
"8130408"	"0.28429"	"7.59e-04"	"8.2695"	"IPCEF1///CNKSR3"	"interaction protein for cytohesin exchange factors 1///CNKSR family member 3"
"7896410"	"0.28643"	"7.92e-04"	"8.1978"	""	""
"7930213"	"0.28643"	"8.01e-04"	"8.1805"	"TAF5"	"TATA-box binding protein associated factor 5"
"7893048"	"0.28643"	"8.13e-04"	"8.1561"	""	""
"8118564"	"0.28643"	"8.23e-04"	"8.1348"	"HLA-DQA2///HLA-DQA1"	"major histocompatibility complex, class II, DQ alpha 2///major histocompatibility complex, class II, DQ alpha 1"
"7903972"	"0.28643"	"8.24e-04"	"8.1341"	"ATP5F1"	"ATP synthase, H+ transporting, mitochondrial Fo complex subunit B1"
"8174975"	"0.28643"	"8.24e-04"	"8.1328"	""	""
"7951752"	"0.28643"	"8.25e-04"	"8.1308"	"USP28"	"ubiquitin specific peptidase 28"
"7896750"	"0.28874"	"8.41e-04"	"8.0995"	""	""
"8124402"	"0.28874"	"8.54e-04"	"8.0746"	"HIST1H1T"	"histone cluster 1, H1t"
"7893909"	"0.28874"	"8.67e-04"	"8.0501"	""	""
"7896517"	"0.28874"	"8.73e-04"	"8.0382"	""	""
"8110018"	"0.28874"	"8.87e-04"	"8.0127"	"RPL26L1"	"ribosomal protein L26 like 1"
"8152782"	"0.28874"	"8.95e-04"	"7.9994"	"KIAA0196"	"KIAA0196"
"7904874"	"0.28874"	"9.09e-04"	"7.9735"	"NBPF25P///NBPF19///NBPF20///NBPF10///NBPF8///NBPF9///NBPF15///NBPF11///NBPF12///NBPF3///NBPF1///NBPF14"	"neuroblastoma breakpoint family member 25, pseudogene///neuroblastoma breakpoint family member 19///neuroblastoma breakpoint family member 20///neuroblastoma breakpoint family member 10///neuroblastoma breakpoint family member 8///neuroblastoma breakpoint family member 9///neuroblastoma breakpoint family member 15///neuroblastoma breakpoint family member 11///neuroblastoma breakpoint family member 12///neuroblastoma breakpoint family member 3///neuroblastoma breakpoint family member 1///neuroblastoma breakpoint family member 14"
"7931607"	"0.28874"	"9.13e-04"	"7.9657"	"MTG1"	"mitochondrial ribosome associated GTPase 1"
"8037259"	"0.28874"	"9.32e-04"	"7.9336"	"PSG11"	"pregnancy specific beta-1-glycoprotein 11"
"8073214"	"0.28874"	"9.37e-04"	"7.9244"	"TNRC6B"	"trinucleotide repeat containing 6B"
"7892572"	"0.28874"	"9.54e-04"	"7.8949"	""	""
"7968126"	"0.28874"	"9.57e-04"	"7.8896"	"LOC100996732///LOC654342///LOC645166///LSP1"	"uncharacterized LOC100996732///lymphocyte-specific protein 1 pseudogene///lymphocyte-specific protein 1 pseudogene///lymphocyte-specific protein 1"
"7921179"	"0.28874"	"9.60e-04"	"7.8854"	"ARHGEF11"	"Rho guanine nucleotide exchange factor 11"
"8148962"	"0.28874"	"9.61e-04"	"7.884"	"OR4F29///OR4F21///OR4F16///OR4F3"	"olfactory receptor family 4 subfamily F member 29///olfactory receptor family 4 subfamily F member 21///olfactory receptor family 4 subfamily F member 16///olfactory receptor family 4 subfamily F member 3"
"8178205"	"0.28874"	"9.63e-04"	"7.8796"	"HLA-DQA2///HLA-DQA1"	"major histocompatibility complex, class II, DQ alpha 2///major histocompatibility complex, class II, DQ alpha 1"
"8053735"	"0.30006"	"1.01e-03"	"7.8035"	"IGKC"	"immunoglobulin kappa constant"
"8017421"	"0.30152"	"1.03e-03"	"7.7734"	"CCDC47"	"coiled-coil domain containing 47"
"7892624"	"0.30152"	"1.03e-03"	"7.7674"	""	""
"7946228"	"0.30398"	"1.05e-03"	"7.7404"	"TPP1"	"tripeptidyl peptidase 1"
"8043449"	"0.30975"	"1.08e-03"	"7.6968"	"IGK///IGKC"	"immunoglobulin kappa locus///immunoglobulin kappa constant"
"8127419"	"0.31342"	"1.11e-03"	"7.6537"	""	""
"8042381"	"0.31342"	"1.11e-03"	"7.6482"	"PNO1///PNO1"	"partner of NOB1 homolog///partner of NOB1 homolog"
"8004024"	"0.31342"	"1.13e-03"	"7.6222"	"GP1BA"	"glycoprotein Ib platelet alpha subunit"
"8028248"	"0.31342"	"1.14e-03"	"7.6136"	"ZNF570"	"zinc finger protein 570"
"8177120"	"0.31342"	"1.14e-03"	"7.6111"	"LOC100233156///TEKT4P2///MAFIP"	"tektin 4 pseudogene///tektin 4 pseudogene 2///MAFF interacting protein (pseudogene)"
"7992811"	"0.31398"	"1.15e-03"	"7.5953"	"MMP25"	"matrix metallopeptidase 25"
"7895877"	"0.31752"	"1.20e-03"	"7.53"	""	""
"8122317"	"0.31752"	"1.21e-03"	"7.5208"	"HEBP2"	"heme binding protein 2"
"7894001"	"0.31752"	"1.22e-03"	"7.5023"	""	""
"7981718"	"0.31752"	"1.24e-03"	"7.4825"	"SCFV///IGHM///SCFV///IGHV3-30"	"single-chain Fv fragment///immunoglobulin heavy constant mu///single-chain Fv fragment///immunoglobulin heavy variable 3-30"
"7893676"	"0.31752"	"1.25e-03"	"7.4733"	""	""
"7928444"	"0.31752"	"1.25e-03"	"7.4718"	"VCL"	"vinculin"
"7895475"	"0.31752"	"1.27e-03"	"7.4481"	""	""
"8135321"	"0.31752"	"1.27e-03"	"7.4466"	""	""
"7896744"	"0.31752"	"1.28e-03"	"7.4374"	"OR4F29///OR4F21///OR4F16///OR4F3"	"olfactory receptor family 4 subfamily F member 29///olfactory receptor family 4 subfamily F member 21///olfactory receptor family 4 subfamily F member 16///olfactory receptor family 4 subfamily F member 3"
"8110672"	"0.31752"	"1.28e-03"	"7.4374"	"OR4F29///OR4F21///OR4F16///OR4F3"	"olfactory receptor family 4 subfamily F member 29///olfactory receptor family 4 subfamily F member 21///olfactory receptor family 4 subfamily F member 16///olfactory receptor family 4 subfamily F member 3"
"7911345"	"0.31752"	"1.28e-03"	"7.4373"	"OR4F29///OR4F21///OR4F16///OR4F3"	"olfactory receptor family 4 subfamily F member 29///olfactory receptor family 4 subfamily F member 21///olfactory receptor family 4 subfamily F member 16///olfactory receptor family 4 subfamily F member 3"
"8073068"	"0.31752"	"1.28e-03"	"7.4306"	"APOBEC3C"	"apolipoprotein B mRNA editing enzyme catalytic subunit 3C"
"8053388"	"0.32126"	"1.31e-03"	"7.401"	"TGOLN2"	"trans-golgi network protein 2"
"7894912"	"0.32573"	"1.34e-03"	"7.361"	""	""
"7934615"	"0.32573"	"1.34e-03"	"7.3569"	"DLG5"	"discs large MAGUK scaffold protein 5"
"8040576"	"0.32968"	"1.37e-03"	"7.3272"	""	""
"7894102"	"0.33205"	"1.39e-03"	"7.3051"	""	""
"7894367"	"0.3401"	"1.43e-03"	"7.2576"	""	""
"8100125"	"0.34083"	"1.45e-03"	"7.2434"	""	""
"8063337"	"0.34519"	"1.48e-03"	"7.2133"	"ZFAS1"	"ZNFX1 antisense RNA 1"
"8150287"	"0.34519"	"1.49e-03"	"7.2026"	"WHSC1L1"	"Wolf-Hirschhorn syndrome candidate 1-like 1"
"7893321"	"0.35039"	"1.53e-03"	"7.1597"	""	""
"7914296"	"0.35039"	"1.54e-03"	"7.1536"	"PUM1///PUM1"	"pumilio RNA binding family member 1///pumilio RNA binding family member 1"
"7984330"	"0.35039"	"1.57e-03"	"7.1228"	"ZWILCH"	"zwilch kinetochore protein"
"7913001"	"0.35039"	"1.57e-03"	"7.1209"	"UBR4"	"ubiquitin protein ligase E3 component n-recognin 4"
"8043993"	"0.35039"	"1.57e-03"	"7.1207"	"LOC100131131"	"AHPA9419"
"8102321"	"0.35039"	"1.57e-03"	"7.1176"	"PLA2G12AP1///PLA2G12A"	"phospholipase A2 group XIIA pseudogene 1///phospholipase A2 group XIIA"
"7893058"	"0.35206"	"1.59e-03"	"7.1003"	""	""
"8139826"	"0.35218"	"1.61e-03"	"7.0806"	"ZNF138"	"zinc finger protein 138"
"8127051"	"0.35218"	"1.61e-03"	"7.0798"	"TRAM2"	"translocation associated membrane protein 2"
"8117408"	"0.35228"	"1.63e-03"	"7.0603"	"HIST1H2AE"	"histone cluster 1, H2ae"
"8079462"	"0.35228"	"1.64e-03"	"7.0553"	"NBEAL2"	"neurobeachin like 2"
"7896018"	"0.35228"	"1.65e-03"	"7.0416"	""	""
"7966706"	"0.35228"	"1.66e-03"	"7.0403"	"MED13L"	"mediator complex subunit 13 like"
"7894785"	"0.35449"	"1.69e-03"	"7.0076"	""	""
"8165665"	"0.35449"	"1.74e-03"	"6.969"	""	""
"8019762"	"0.35449"	"1.74e-03"	"6.9677"	"P4HB"	"prolyl 4-hydroxylase subunit beta"
"7895518"	"0.35449"	"1.76e-03"	"6.9538"	""	""
"8110920"	"0.35449"	"1.76e-03"	"6.9514"	"FASTKD3"	"FAST kinase domains 3"
"7981722"	"0.35449"	"1.76e-03"	"6.9509"	"IGLJ3///IGHV3-23///IGHV4-31///IGHM///IGHG1///IGHA1///SCFV///C14orf99///IGK///IGKV3-20///IGHV3-23///IGHV3-48///IGHV3-69-1///IGHV3OR16-7"	"immunoglobulin lambda joining 3///immunoglobulin heavy variable 3-23///immunoglobulin heavy variable 4-31///immunoglobulin heavy constant mu///immunoglobulin heavy constant gamma 1 (G1m marker)///immunoglobulin heavy constant alpha 1///single-chain Fv fragment///uncharacterized LOC317730///immunoglobulin kappa locus///immunoglobulin kappa variable 3-20///immunoglobulin heavy variable 3-23///immunoglobulin heavy variable 3-48///immunoglobulin heavy variable 3-69-1 (pseudogene)///immunoglobulin heavy variable 3/OR16-7 (pseudogene)"
"8016546"	"0.35449"	"1.77e-03"	"6.9447"	"ZNF652"	"zinc finger protein 652"
"7987584"	"0.35449"	"1.78e-03"	"6.9298"	"INO80"	"INO80 complex subunit"
"8117834"	"0.35449"	"1.81e-03"	"6.9113"	"PPP1R11"	"protein phosphatase 1 regulatory inhibitor subunit 11"
"8177744"	"0.35449"	"1.81e-03"	"6.9113"	"PPP1R11"	"protein phosphatase 1 regulatory inhibitor subunit 11"
"8085293"	"0.35449"	"1.82e-03"	"6.9031"	"GHRL"	"ghrelin/obestatin prepropeptide"
"7989516"	"0.35449"	"1.82e-03"	"6.8966"	"HERC1"	"HECT and RLD domain containing E3 ubiquitin protein ligase family member 1"
"8144701"	"0.35449"	"1.84e-03"	"6.8872"	"LOC100131581"	"uncharacterized LOC100131581"
"8081069"	"0.35449"	"1.84e-03"	"6.882"	"ZNF654"	"zinc finger protein 654"
"7892969"	"0.35449"	"1.85e-03"	"6.8773"	""	""
"8114658"	"0.35449"	"1.85e-03"	"6.8747"	"DIAPH1"	"diaphanous related formin 1"
"7994343"	"0.35449"	"1.86e-03"	"6.8689"	""	""
"7918593"	"0.35449"	"1.86e-03"	"6.8683"	"RHOC"	"ras homolog family member C"
"8140107"	"0.35513"	"1.88e-03"	"6.8519"	"DNAJC30"	"DnaJ heat shock protein family (Hsp40) member C30"
"7919193"	"0.35513"	"1.89e-03"	"6.8416"	"NUDT4P1///NUDT4P2///NUDT4"	"nudix hydrolase 4 pseudogene 1///nudix hydrolase 4 pseudogene 2///nudix hydrolase 4"
"7981601"	"0.35513"	"1.93e-03"	"6.813"	"IGHM///IGHG1///IGHD///IGHA2///IGHA1///IGHA2///IGHA1///IGH"	"immunoglobulin heavy constant mu///immunoglobulin heavy constant gamma 1 (G1m marker)///immunoglobulin heavy constant delta///immunoglobulin heavy constant alpha 2 (A2m marker)///immunoglobulin heavy constant alpha 1///immunoglobulin heavy constant alpha 2 (A2m marker)///immunoglobulin heavy constant alpha 1///immunoglobulin heavy locus"
"7907310"	"0.35513"	"1.94e-03"	"6.8092"	"PRRC2C"	"proline rich coiled-coil 2C"
"7894302"	"0.35513"	"1.94e-03"	"6.8075"	""	""
"8117614"	"0.35513"	"1.94e-03"	"6.8061"	"HIST1H2BO"	"histone cluster 1, H2bo"
"7942781"	"0.35513"	"1.95e-03"	"6.802"	""	""
"8141395"	"0.35513"	"1.95e-03"	"6.7995"	"MCM7"	"minichromosome maintenance complex component 7"
"7895009"	"0.35668"	"1.97e-03"	"6.7851"	""	""
"7895556"	"0.35818"	"1.99e-03"	"6.7707"	""	""
"8124521"	"0.35818"	"2.00e-03"	"6.7596"	"HIST1H4J///HIST1H4K///HIST1H4J///HIST1H4K"	"histone cluster 1, H4j///histone cluster 1, H4k///histone cluster 1, H4j///histone cluster 1, H4k"
"7937938"	"0.35818"	"2.01e-03"	"6.7551"	"OR52K2"	"olfactory receptor family 52 subfamily K member 2"
"8012558"	"0.3598"	"2.04e-03"	"6.7331"	"PIK3R5"	"phosphoinositide-3-kinase regulatory subunit 5"
"7893717"	"0.3598"	"2.05e-03"	"6.7237"	""	""
"7919888"	"0.3598"	"2.06e-03"	"6.72"	"CDC42SE1"	"CDC42 small effector 1"
"7994235"	"0.3598"	"2.06e-03"	"6.7176"	"LOC554206"	"leucine carboxyl methyltransferase 1 pseudogene"
"7972180"	"0.3617"	"2.09e-03"	"6.6994"	"RNF219"	"ring finger protein 219"
"7950372"	"0.3617"	"2.10e-03"	"6.6929"	""	""
"8006148"	"0.3617"	"2.11e-03"	"6.6871"	"GOSR1"	"golgi SNAP receptor complex member 1"
"8053713"	"0.36502"	"2.14e-03"	"6.6664"	"IGKC"	"immunoglobulin kappa constant"
"7953278"	"0.37323"	"2.20e-03"	"6.6267"	"KCNA5"	"potassium voltage-gated channel subfamily A member 5"
"7954604"	"0.37323"	"2.23e-03"	"6.6078"	"KLHL42"	"kelch like family member 42"
"8041820"	"0.37323"	"2.24e-03"	"6.5998"	"SOCS5"	"suppressor of cytokine signaling 5"
"7960832"	"0.37323"	"2.25e-03"	"6.5927"	"CLEC4C"	"C-type lectin domain family 4 member C"
"7944739"	"0.37323"	"2.25e-03"	"6.5895"	"CRTAM"	"cytotoxic and regulatory T-cell molecule"
"7909102"	"0.37323"	"2.28e-03"	"6.5715"	""	""
"8059799"	"0.37323"	"2.29e-03"	"6.5702"	""	""
"7931387"	"0.37323"	"2.29e-03"	"6.5657"	""	""
"7895652"	"0.37323"	"2.30e-03"	"6.5627"	""	""
"7896533"	"0.37323"	"2.30e-03"	"6.562"	""	""
"8125373"	"0.37381"	"2.31e-03"	"6.5528"	"GPSM3"	"G-protein signaling modulator 3"
"8020308"	"0.38005"	"2.37e-03"	"6.5163"	"LDLRAD4"	"low density lipoprotein receptor class A domain containing 4"
"7928208"	"0.38005"	"2.38e-03"	"6.5147"	"SLC29A3"	"solute carrier family 29 member 3"
"7956783"	"0.38005"	"2.39e-03"	"6.5085"	""	""
"7893070"	"0.3847"	"2.43e-03"	"6.4843"	""	""
"7896126"	"0.38597"	"2.45e-03"	"6.4729"	""	""
"7981728"	"0.38602"	"2.47e-03"	"6.46"	"IGHM///IGHV3-48///IGHV3-69-1"	"immunoglobulin heavy constant mu///immunoglobulin heavy variable 3-48///immunoglobulin heavy variable 3-69-1 (pseudogene)"
"7896183"	"0.38602"	"2.48e-03"	"6.4545"	""	""
"8165653"	"0.38602"	"2.48e-03"	"6.4525"	""	""
"8098762"	"0.38608"	"2.50e-03"	"6.4419"	"ATP5I"	"ATP synthase, H+ transporting, mitochondrial Fo complex subunit E"
"8169000"	"0.38608"	"2.51e-03"	"6.439"	""	""
"8136869"	"0.38678"	"2.52e-03"	"6.4299"	"CASP2"	"caspase 2"
"7895805"	"0.39063"	"2.57e-03"	"6.4044"	""	""
"7981181"	"0.39063"	"2.59e-03"	"6.3929"	"SCARNA13///SNHG10"	"small Cajal body-specific RNA 13///small nucleolar RNA host gene 10"
"8050875"	"0.39063"	"2.61e-03"	"6.3805"	"ASXL2///ASXL2"	"additional sex combs like 2, transcriptional regulator///additional sex combs like 2, transcriptional regulator"
"8076436"	"0.39063"	"2.64e-03"	"6.3632"	"TCF20"	"transcription factor 20"
"8084067"	"0.39063"	"2.67e-03"	"6.3486"	"ACTL6A"	"actin like 6A"
"8118249"	"0.39063"	"2.68e-03"	"6.3467"	"C6orf25"	"chromosome 6 open reading frame 25"
"8043443"	"0.39063"	"2.69e-03"	"6.342"	""	""
"7904569"	"0.39063"	"2.69e-03"	"6.3377"	"NBPF25P///NBPF19///NBPF20///NBPF10///NBPF8///NBPF9///NBPF15///NBPF11///NBPF12///NBPF3///NBPF1///NBPF14"	"neuroblastoma breakpoint family member 25, pseudogene///neuroblastoma breakpoint family member 19///neuroblastoma breakpoint family member 20///neuroblastoma breakpoint family member 10///neuroblastoma breakpoint family member 8///neuroblastoma breakpoint family member 9///neuroblastoma breakpoint family member 15///neuroblastoma breakpoint family member 11///neuroblastoma breakpoint family member 12///neuroblastoma breakpoint family member 3///neuroblastoma breakpoint family member 1///neuroblastoma breakpoint family member 14"
"8179987"	"0.39063"	"2.70e-03"	"6.3338"	"GPSM3"	"G-protein signaling modulator 3"
"8012450"	"0.39063"	"2.71e-03"	"6.3308"	"SLC25A35"	"solute carrier family 25 member 35"
"8125850"	"0.39063"	"2.77e-03"	"6.2992"	"C6orf106"	"chromosome 6 open reading frame 106"
"8097124"	"0.39063"	"2.77e-03"	"6.2967"	""	""
"7894193"	"0.39063"	"2.78e-03"	"6.2935"	""	""
"7892869"	"0.39063"	"2.80e-03"	"6.2817"	""	""
"8021653"	"0.39063"	"2.81e-03"	"6.2789"	"SERPINB8"	"serpin family B member 8"
"8043791"	"0.39063"	"2.85e-03"	"6.2604"	"INPP4A"	"inositol polyphosphate-4-phosphatase type I A"
"8027377"	"0.39063"	"2.86e-03"	"6.2563"	""	""
"7895935"	"0.39063"	"2.86e-03"	"6.2541"	""	""
"7903908"	"0.39063"	"2.86e-03"	"6.2536"	"CEPT1"	"choline/ethanolamine phosphotransferase 1"
"8002919"	"0.39063"	"2.86e-03"	"6.253"	"KARS"	"lysyl-tRNA synthetase"
"8042972"	"0.39063"	"2.88e-03"	"6.246"	""	""
